,NAME,DP05_0001E-T Popo,DP02_0001E-T HHs,DP02_0002E-T Fam HHs,DP02_0008PE-%F-led HHs No H,DP02_0010PE-% Non-Fam HHs,DP02_0015E-Avg HH Size,DP02_0016E-Avg Fam Size,DP02_0022PE-%Non Rel in Hs,DP02_0038E-per1000-F-U-RecentPreg,DP02_0046PE-%GPwParent&Gc1-2yrs,DP02_0048PE--%GPwParent&Gc>5yrs,DP02_0060PE-%NoSchDiploma,DP02_0063PE-%AssDeg,DP02_0079PE-% SameHouse_1YrAgo,DP02_0085PE-%LivAbroad1YrAgo,DP02_0088PE-%BornUS,DP02_0112PE-HomeLangNotEng,DP02_0134PE-%IrishAnc,DP03_0009PE-%Unemploy,"DP03_0027PE-%WorkingMgt,Bus,Sc,Arts",DP03_0028PE%WorkingService,DP03_0037PE-Retail,DP03_0040PE-%Fin&Ins,"DP03_0041PE-%ProfSc,Mgt,Admin",DP03_0050PE-%UnpaidFamilyWk,DP03_0052PE-Inc<10k,DP03_0054PE-Inc15-24k,DP03_0058PE-Inc75-99k,DP03_0061PE-Inc200k>,DP03_0065E-HH-MeanEarnings,DP03_0066PE-%HHsWithSocSec,DP03_0072PE-%HH Inc with Cash public Ass,DP03_0074PE-%HH Inc with Food Stamps SNAP,DP03_0085PE-%Families Inc>200k,DP03_0092E-Median Earning Workers,DP03_0093E-Median Earnings Male FT Workers,DP03_0094E-Median Earnings Female FT Workers,DP03_0097PE-%PHI-Priv,DP03_0098PE-%PHI-Pub,DP03_0099PE-No PHI,DP03_0119PE-% Fam <Pov,DP03_0121PE-%Fam with child U18&U5 <pov,DP03_0126PE-%F-Led Families with u18 <pov,DP04_0001E-T H U,DP04_0002PE-%Occ H U,DP04_0004E-%Ow Vac Rate,DP04_0005E-%Rn Vac Rate,DP04_0006E-T HU,State,County,Tract,DP04_0013PE-%20+HU,DP04_0017PE-%Built2014+,DP04_0029PE-%2rooms_only_HU,DP04_0039PE-Zero bedrooms,DP04_0045PE-%Occup HU,DP04_0046PE-%Owner Occup HU,DP04_0048E-Owner Ave Household size,DP04_0049E-Renter Ave Household size,DP04_0051PE-%moved since 2017+,DP04_0054PE-%moved 2000 to 2009,DP04_0082PE-%Value 50-99k,DP04_0083PE-%Value 100-149k,DP04_0084PE-%Value 150-199k,DP04_0087PE-%Value 500k-1m,DP04_0101E-Med Onwer Monthly Mortgage,DP04_0134E-Median Gross Rent,DP05_0005PE-%under 5 yrs,DP05_0023PE-%62 yrs+,DP05_0058PE-% w & B or AM,DP05_0061PE-%White & Asian,DP05_0064PE-%White with others,DP05_0070PE-%H&L race,AreaLand,crimeStats,Popo_Density_Per_Hector
70,"Census Tract 1307, Baltimore city, Maryland",4757.00,2445.00,923.00,2.30,62.20,1.84,2.65,11.80,0.00,-666666666.00,-666666666.00,6.00,1.30,79.30,1.90,91.30,7.40,14.60,4.00,69.40,9.60,3.80,8.10,17.50,0.00,2.40,9.60,10.40,5.20,99349.00,35.60,0.70,6.20,9.40,51250.00,57151.00,56141.00,85.00,85.00,2.20,1.20,0.00,0.00,2694.00,90.80,4.20,0.00,2694.00,24,510,130700,41.10,4.50,7.30,10.10,2445.00,46.20,1315.00,2.15,8.30,20.30,1.30,10.20,7.30,6.00,1840.00,1068.00,6.60,29.90,0.00,1.40,89.70,4757.00,105,1630,0.022072734916964473
71,"Census Tract 1403, Baltimore city, Maryland",2353.00,931.00,463.00,29.20,50.30,2.47,3.51,9.00,0.00,0.00,26.10,13.80,2.70,89.90,0.30,96.60,4.40,0.80,4.90,31.50,20.10,11.70,4.50,8.60,0.00,18.70,15.90,6.60,1.30,55833.00,26.60,6.60,40.90,2.60,30325.00,37216.00,36742.00,50.50,50.50,4.10,27.60,68.40,56.60,1507.00,61.80,0.00,11.10,1507.00,24,510,140300,5.20,0.00,3.00,2.70,931.00,31.40,639.00,2.73,3.20,23.10,26.00,7.50,12.30,0.00,1646.00,988.00,9.30,15.00,0.00,0.00,5.60,2353.00,38,2319,0.016149596260093498
72,"Census Tract 1701, Baltimore city, Maryland",1634.00,926.00,260.00,18.90,71.90,1.70,2.95,8.80,27.00,0.00,0.00,13.70,4.00,76.20,0.00,92.10,5.70,5.60,4.30,40.90,22.40,7.60,6.00,10.70,0.00,17.40,11.20,9.00,0.80,50737.00,25.80,4.80,35.20,0.00,31107.00,52829.00,33828.00,50.10,50.10,6.60,17.30,0.00,35.70,1032.00,89.70,0.00,5.50,1032.00,24,510,170100,48.40,0.00,8.70,5.30,926.00,12.70,808.00,1.75,9.10,20.60,11.90,36.40,18.60,0.00,989.00,1049.00,4.50,14.40,0.00,0.00,31.00,1634.00,28,1630,0.017135862913096694
73,"Census Tract 1802, Baltimore city, Maryland",948.00,365.00,135.00,17.80,63.00,2.23,3.56,12.80,0.00,-666666666.00,-666666666.00,23.40,2.30,79.40,2.40,95.50,3.90,4.50,13.80,30.70,29.60,15.20,6.80,11.70,0.00,32.90,7.70,4.10,0.00,64261.00,30.40,6.80,48.80,0.00,30114.00,34414.00,36250.00,49.80,49.80,15.50,34.10,0.00,82.80,593.00,61.60,0.00,9.90,593.00,24,510,180200,26.60,0.00,4.60,3.70,365.00,26.30,269.00,3.16,6.30,23.60,13.50,13.50,30.20,5.20,968.00,-666666666.00,2.80,22.30,0.00,0.00,12.00,948.00,23,662,0.024261603375527425
74,"Census Tract 1903, Baltimore city, Maryland",2502.00,818.00,472.00,24.30,42.30,2.98,3.83,11.70,91.00,0.00,16.20,24.30,1.60,79.00,0.00,90.60,18.40,4.00,16.30,20.10,30.80,10.10,5.80,10.70,0.00,23.70,14.10,9.50,0.00,44858.00,23.10,9.90,60.40,0.00,20422.00,43750.00,36154.00,16.40,16.40,11.60,38.80,57.60,77.40,1393.00,58.70,37.30,9.60,1393.00,24,510,190300,11.60,0.00,1.60,5.80,818.00,24.80,615.00,2.36,1.70,22.70,30.00,0.00,10.30,9.40,1125.00,904.00,10.90,11.20,0.00,0.00,24.90,2502.00,37,1785,0.014788169464428458
75,"Census Tract 2501.02, Baltimore city, Maryland",3236.00,1231.00,832.00,41.80,32.40,2.63,3.05,9.30,23.00,0.00,18.40,14.30,8.70,88.10,0.00,95.50,5.70,0.00,9.90,24.70,23.50,11.80,3.80,8.10,0.00,5.90,11.70,9.20,0.30,57142.00,23.20,3.30,21.50,0.50,26080.00,38041.00,41522.00,53.40,53.40,3.30,16.00,6.20,22.60,1348.00,91.30,2.80,7.50,1348.00,24,510,250102,0.00,0.00,0.10,0.90,1231.00,42.20,712.00,2.46,4.70,26.30,24.90,42.20,24.10,0.00,1194.00,1115.00,8.30,12.30,0.80,0.20,7.20,3236.00,73,936,0.022558714462299134
76,"Census Tract 2503.01, Baltimore city, Maryland",2355.00,818.00,556.00,54.30,32.00,2.88,3.43,7.80,45.00,0.00,22.20,18.90,3.10,82.90,0.00,96.20,4.90,1.50,18.60,25.20,30.00,7.00,0.50,12.30,0.00,23.60,20.80,13.30,0.00,41663.00,33.10,5.40,57.70,0.00,27708.00,38194.00,40069.00,36.50,36.50,6.80,37.80,0.00,46.90,1060.00,77.20,0.00,11.00,1060.00,24,510,250301,0.60,0.00,1.70,0.00,818.00,31.10,564.00,2.53,7.00,25.40,54.70,25.20,7.90,0.00,1196.00,422.00,8.20,11.10,0.00,0.00,12.40,2355.00,189,1157,0.08025477707006369
77,"Census Tract 2504.01, Baltimore city, Maryland",3605.00,1157.00,673.00,17.90,41.80,3.11,4.00,11.70,54.00,14.80,44.30,23.70,6.30,84.90,1.90,82.80,21.30,13.90,11.10,19.30,25.20,20.20,2.70,7.50,0.00,12.50,10.60,10.90,4.40,67344.00,23.20,3.20,30.30,6.10,25201.00,37214.00,26184.00,36.70,36.70,17.60,21.50,44.60,42.00,1573.00,73.60,8.30,13.00,1573.00,24,510,250401,0.00,0.00,2.80,1.80,1157.00,39.30,702.00,3.58,1.70,22.30,38.50,29.20,17.40,0.00,1152.00,972.00,7.70,13.00,0.20,0.00,58.20,3605.00,118,2702,0.03273231622746186
78,"Census Tract 807, Baltimore city, Maryland",746.00,341.00,168.00,17.90,50.70,2.17,3.13,5.80,0.00,100.00,0.00,9.70,2.50,88.50,0.00,95.20,5.90,0.00,25.10,21.90,36.40,7.10,1.10,17.50,0.00,17.00,7.60,10.60,0.00,40006.00,54.80,3.20,48.10,0.00,29148.00,53693.00,23000.00,40.20,40.20,4.80,26.80,0.00,0.00,715.00,47.70,0.00,14.50,715.00,24,510,080700,6.90,6.90,0.00,2.90,341.00,51.60,165.00,2.18,5.30,20.50,14.80,0.00,4.50,0.00,1359.00,861.00,2.70,26.00,0.00,0.90,1.90,746.00,29,734,0.0388739946380697
79,"Census Tract 1308.05, Baltimore city, Maryland",943.00,568.00,171.00,8.80,69.90,1.66,2.99,3.60,265.00,0.00,0.00,8.50,2.90,92.30,0.00,92.00,4.60,1.10,8.00,52.80,17.00,8.50,3.80,17.50,4.00,22.50,15.00,22.70,0.90,72685.00,55.60,9.70,25.00,2.90,40000.00,51250.00,50766.00,63.10,63.10,5.00,2.90,0.00,15.60,616.00,92.20,4.40,4.30,616.00,24,510,130805,44.80,0.00,2.60,5.70,568.00,45.60,309.00,2.35,1.40,36.60,11.20,17.40,36.70,5.40,1676.00,473.00,4.00,42.10,0.00,0.00,15.60,943.00,163,510,0.1728525980911983
80,"Census Tract 2101, Baltimore city, Maryland",2532.00,967.00,446.00,23.20,53.90,2.62,3.55,16.90,147.00,0.00,0.00,8.70,5.40,85.20,0.50,94.30,6.20,5.00,12.50,53.80,15.50,12.10,5.50,11.20,0.00,10.20,11.00,13.70,2.90,77390.00,13.20,5.50,23.30,2.70,36131.00,46250.00,43851.00,58.00,58.00,4.40,13.00,48.70,26.00,1170.00,82.60,5.90,11.60,1170.00,24,510,210100,0.30,0.00,0.00,2.50,967.00,41.20,569.00,1.98,5.70,22.90,9.50,21.90,30.70,0.00,1362.00,1353.00,4.90,7.70,0.60,0.20,30.30,2532.00,128,2950,0.05055292259083728
81,"Census Tract 2707.01, Baltimore city, Maryland",2468.00,1139.00,558.00,19.20,51.00,2.17,2.97,9.40,59.00,0.00,0.00,18.00,6.30,55.80,4.60,86.80,5.90,0.20,9.90,20.90,43.10,7.30,4.50,17.90,0.00,16.80,13.00,10.00,6.10,56916.00,18.30,7.70,37.10,7.50,26933.00,44453.00,31081.00,49.00,49.00,10.30,16.10,22.50,38.00,1296.00,87.90,-666666666.00,10.50,1296.00,24,510,270701,11.60,0.00,0.00,4.90,1139.00,0.00,1139.00,-666666666.00,11.50,21.10,-666666666.00,-666666666.00,-666666666.00,-666666666.00,-666666666.00,1060.00,8.00,8.90,0.00,0.00,2.50,2468.00,38,922,0.01539708265802269
82,"Census Tract 2702, Baltimore city, Maryland",1882.00,709.00,387.00,17.10,45.40,2.63,3.50,10.20,0.00,0.00,0.00,1.80,3.70,89.80,0.40,95.40,3.50,13.40,8.70,48.90,14.50,15.90,5.00,9.20,0.00,5.20,5.50,22.80,4.80,84097.00,26.20,2.70,13.00,3.60,39943.00,50625.00,50000.00,64.60,64.60,7.80,2.80,0.00,0.00,792.00,89.50,0.00,0.00,792.00,24,510,270200,0.80,0.80,0.60,1.90,709.00,70.10,212.00,2.77,4.10,32.20,9.10,16.30,24.10,1.40,1433.00,963.00,2.60,17.00,3.10,0.00,55.60,1882.00,93,660,0.049415515409139216
83,"Census Tract 2606.04, Baltimore city, Maryland",1490.00,512.00,359.00,56.30,29.90,2.91,3.58,3.50,167.00,0.00,20.00,14.10,2.00,86.40,0.00,93.80,10.70,3.00,17.60,16.70,43.90,10.50,7.60,9.90,0.00,17.00,12.50,10.00,0.00,37323.00,22.50,8.20,49.80,0.00,24803.00,42188.00,26250.00,20.10,20.10,4.20,41.80,0.00,60.20,646.00,79.30,0.00,19.70,646.00,24,510,260604,0.00,0.00,0.00,0.00,512.00,34.60,335.00,2.54,8.20,20.90,50.80,37.90,3.40,0.00,1074.00,352.00,13.00,7.70,2.10,0.00,15.90,1490.00,50,688,0.03355704697986577
84,"Census Tract 401, Baltimore city, Maryland",4404.00,2596.00,509.00,5.90,80.40,1.69,2.65,21.60,0.00,-666666666.00,-666666666.00,0.80,0.80,54.30,5.40,72.00,29.00,9.40,2.20,83.20,4.00,2.30,7.20,21.40,0.00,10.20,3.50,12.50,6.00,87026.00,4.50,0.00,4.70,10.40,59275.00,71016.00,48983.00,88.80,88.80,1.30,0.00,0.00,0.00,3141.00,82.60,0.00,8.00,3141.00,24,510,040100,88.90,3.90,19.30,14.60,2596.00,7.40,2403.00,1.40,16.50,8.70,0.00,9.30,6.70,9.30,2301.00,1509.00,5.20,3.70,0.30,0.20,51.50,4404.00,119,12384,0.027020890099909173
85,"Census Tract 402, Baltimore city, Maryland",901.00,228.00,21.00,0.00,90.80,1.29,2.86,9.50,0.00,-666666666.00,-666666666.00,4.80,1.60,70.60,3.20,81.80,22.80,5.30,4.40,58.60,19.30,8.20,5.40,7.90,0.00,15.80,14.90,6.60,3.10,59070.00,7.90,9.60,20.60,19.00,8415.00,65735.00,51250.00,85.90,85.90,1.60,0.00,-666666666.00,-666666666.00,360.00,63.30,-666666666.00,16.80,360.00,24,510,040200,76.10,1.40,8.60,55.30,228.00,0.00,228.00,-666666666.00,20.60,18.40,-666666666.00,-666666666.00,-666666666.00,-666666666.00,-666666666.00,1142.00,0.00,1.90,1.80,0.80,47.30,901.00,43,1132,0.04772475027746948
86,"Census Tract 602, Baltimore city, Maryland",3241.00,1079.00,586.00,13.60,45.70,2.99,3.61,19.20,80.00,0.00,0.00,12.30,2.90,75.20,0.70,86.30,18.70,8.30,7.90,56.60,11.80,2.40,7.00,13.90,0.00,15.20,1.70,8.20,11.10,98122.00,14.90,2.90,29.50,14.80,47669.00,58333.00,51612.00,60.20,60.20,11.30,27.00,20.00,73.20,1476.00,73.10,22.50,6.40,1476.00,24,510,060200,1.20,0.50,0.70,4.50,1079.00,49.50,545.00,2.95,7.60,15.10,11.80,11.80,24.70,1.50,1484.00,1490.00,7.10,8.50,0.80,0.70,52.70,3241.00,25,2640,0.007713668620796051
87,"Census Tract 905, Baltimore city, Maryland",1865.00,680.00,362.00,32.10,46.80,2.71,3.66,10.90,263.00,0.00,19.40,7.10,2.60,84.30,0.00,95.70,6.50,2.40,9.10,35.40,22.90,15.20,1.90,12.70,0.00,9.30,7.50,9.10,1.60,57101.00,36.80,8.50,27.10,3.00,30694.00,40050.00,36512.00,54.00,54.00,3.40,13.30,0.00,31.00,862.00,78.90,7.40,0.00,862.00,24,510,090500,0.00,0.00,0.00,4.50,680.00,52.90,320.00,2.97,5.00,22.90,36.10,33.90,15.80,0.00,1034.00,986.00,7.50,17.60,7.50,2.10,29.40,1865.00,74,1736,0.03967828418230563
88,"Census Tract 908, Baltimore city, Maryland",2902.00,946.00,542.00,35.90,42.70,3.07,4.01,11.10,49.00,4.10,21.90,21.50,4.50,82.20,0.00,98.70,0.90,0.70,32.50,23.40,41.20,11.20,1.80,13.30,0.00,16.80,14.10,7.30,0.00,43855.00,47.40,10.30,42.10,0.00,25000.00,36250.00,28877.00,45.10,45.10,7.20,30.80,49.30,26.70,1477.00,64.00,0.00,8.30,1477.00,24,510,090800,2.90,0.00,0.00,0.00,946.00,54.20,433.00,3.42,0.00,23.40,39.60,11.90,1.60,0.00,1084.00,1147.00,6.50,21.80,0.00,0.00,2.10,2902.00,84,3097,0.028945554789800137
89,"Census Tract 1201, Baltimore city, Maryland",4643.00,2340.00,982.00,3.90,58.00,1.98,2.68,14.10,0.00,-666666666.00,-666666666.00,1.40,3.40,81.80,5.60,69.40,29.70,9.30,8.00,80.70,2.60,2.10,3.30,14.80,0.80,9.20,4.90,13.10,17.10,112435.00,34.70,0.00,3.60,32.60,49444.00,89750.00,62708.00,85.30,85.30,2.10,6.80,0.00,0.00,2537.00,92.20,1.30,11.50,2537.00,24,510,120100,67.40,0.40,6.30,9.20,2340.00,50.60,1157.00,2.11,4.80,27.60,3.10,6.00,14.70,22.10,2598.00,1345.00,3.90,31.30,0.30,1.90,63.40,4643.00,103,665,0.022183932802067628
90,"Census Tract 1507.01, Baltimore city, Maryland",1573.00,589.00,320.00,36.70,45.70,2.67,3.76,6.40,48.00,54.30,0.00,5.90,4.60,94.00,0.00,99.40,0.30,0.00,7.40,32.00,16.30,20.20,9.20,11.10,0.00,10.50,7.50,2.70,1.20,62495.00,41.10,4.40,17.80,0.00,25893.00,32130.00,39125.00,54.90,54.90,8.80,15.90,0.00,26.30,820.00,71.80,3.10,4.80,820.00,24,510,150701,0.00,0.00,0.60,2.30,589.00,62.60,220.00,2.86,3.90,11.40,36.60,27.90,14.40,0.00,1230.00,1128.00,4.20,22.30,3.80,0.00,8.30,1573.00,85,952,0.0540368722186904
91,"Census Tract 1503, Baltimore city, Maryland",2301.00,703.00,476.00,37.70,32.30,3.27,4.05,6.30,21.00,18.10,3.90,13.70,3.80,82.20,0.00,96.00,5.50,0.40,13.40,24.10,30.20,8.70,1.60,15.20,0.00,14.50,10.00,9.40,4.00,65029.00,34.00,7.40,35.80,4.60,26500.00,43317.00,39477.00,44.70,44.70,9.10,16.60,0.00,23.80,1037.00,67.80,0.00,0.00,1037.00,24,510,150300,0.00,0.00,0.00,1.50,703.00,56.00,309.00,3.04,4.30,9.00,48.20,14.70,1.30,0.00,910.00,1105.00,10.90,17.40,0.00,0.00,0.50,2301.00,39,1243,0.01694915254237288
92,"Census Tract 1507.02, Baltimore city, Maryland",2164.00,826.00,485.00,37.70,41.30,2.59,3.44,6.00,78.00,0.00,3.20,9.30,3.90,80.40,0.00,99.90,1.30,0.00,12.60,41.90,10.70,6.80,7.20,9.80,0.00,8.70,8.80,4.00,3.60,64760.00,34.90,12.30,27.50,0.00,35759.00,36786.00,54036.00,60.80,60.80,2.00,20.20,0.00,60.30,1141.00,72.40,5.40,7.40,1141.00,24,510,150702,0.00,2.60,0.00,0.00,826.00,68.40,261.00,2.28,2.50,14.80,36.10,31.20,9.00,0.00,1224.00,1161.00,3.50,19.50,1.80,0.00,2.90,2164.00,39,836,0.018022181146025877
93,"Census Tract 1511, Baltimore city, Maryland",6482.00,2614.00,1507.00,32.70,42.30,2.47,3.14,9.80,21.00,0.00,28.60,10.70,5.20,91.30,0.40,93.80,5.70,0.30,13.20,30.60,21.20,9.40,4.00,5.70,0.00,9.20,10.30,10.00,1.50,73662.00,42.50,3.10,19.40,2.70,37197.00,48168.00,36376.00,59.40,59.40,4.20,12.10,44.20,26.00,3097.00,84.40,0.00,11.60,3097.00,24,510,151100,4.50,0.00,0.70,0.00,2614.00,68.70,817.00,2.55,5.60,22.10,18.20,32.20,17.40,0.00,1363.00,969.00,5.50,26.70,1.40,0.00,1.60,6482.00,169,2161,0.02607219993829065
94,"Census Tract 1513, Baltimore city, Maryland",4127.00,1509.00,849.00,31.10,43.70,2.61,3.39,10.00,29.00,12.60,3.70,16.90,4.30,83.30,0.10,92.60,6.40,0.80,18.60,18.70,22.20,12.30,0.80,9.70,0.00,20.30,21.00,10.30,0.00,36862.00,32.50,7.00,33.50,0.00,23031.00,36321.00,29747.00,40.50,40.50,6.20,26.30,0.00,46.30,2131.00,70.80,7.10,5.00,2131.00,24,510,151300,3.40,0.50,1.00,2.20,1509.00,32.90,1013.00,2.84,5.50,27.10,49.20,13.90,4.60,5.00,1000.00,981.00,5.90,15.00,0.00,0.00,10.00,4127.00,92,2296,0.022292221952992488
95,"Census Tract 1901, Baltimore city, Maryland",2131.00,808.00,390.00,29.60,51.70,2.61,3.84,9.10,85.00,22.70,37.50,25.20,1.80,87.30,1.60,92.00,12.80,0.40,16.50,16.70,42.40,13.70,2.50,18.50,0.00,24.10,16.00,3.80,0.70,49028.00,32.70,3.30,54.30,1.50,26971.00,33585.00,38056.00,22.90,22.90,4.70,53.80,87.50,68.80,1259.00,64.20,13.20,9.30,1259.00,24,510,190100,7.10,0.00,2.10,5.20,808.00,19.30,652.00,3.26,1.40,30.60,34.60,14.70,10.90,0.00,1155.00,766.00,9.20,15.70,0.40,0.00,6.10,2131.00,38,1295,0.017832003754106054
96,"Census Tract 1902, Baltimore city, Maryland",1886.00,698.00,288.00,19.60,58.70,2.70,4.22,13.80,29.00,0.00,0.00,17.20,4.50,70.30,0.40,83.00,19.30,0.90,11.30,26.70,33.00,15.50,5.80,11.20,1.60,8.30,23.40,7.90,2.70,54846.00,22.20,7.60,44.10,4.20,27241.00,31344.00,38563.00,47.00,47.00,12.20,30.20,0.00,32.80,1139.00,61.30,27.20,2.20,1139.00,24,510,190200,0.00,0.40,0.50,3.90,698.00,28.70,498.00,2.43,4.40,23.80,12.50,18.00,2.50,5.00,1433.00,877.00,7.70,10.20,0.30,1.50,41.30,1886.00,28,1341,0.014846235418875928
97,"Census Tract 2201, Baltimore city, Maryland",4335.00,2264.00,736.00,2.80,67.50,1.90,2.53,21.00,0.00,-666666666.00,-666666666.00,3.00,2.50,79.80,0.00,91.00,9.00,16.20,2.90,79.00,3.80,5.40,11.60,19.50,0.00,5.80,8.00,9.30,17.00,135148.00,32.50,0.00,10.90,35.20,60993.00,88725.00,58750.00,79.20,79.20,3.00,0.00,0.00,0.00,2352.00,96.30,3.60,0.00,2352.00,24,510,220100,42.90,0.00,5.20,1.60,2264.00,41.00,1336.00,2.03,7.90,19.70,3.10,4.00,3.20,28.80,2420.00,1338.00,1.30,19.80,1.20,2.50,76.70,4335.00,115,3345,0.0265282583621684
98,"Census Tract 2303, Baltimore city, Maryland",1431.00,730.00,185.00,3.70,74.70,1.92,2.36,29.80,0.00,0.00,50.00,2.90,1.00,67.50,0.00,93.30,9.90,32.40,1.00,73.00,5.90,3.50,9.60,21.80,0.00,1.40,4.10,16.30,10.50,116203.00,10.30,1.00,0.40,8.10,62575.00,64766.00,64079.00,87.60,87.60,0.90,1.60,23.10,0.00,766.00,95.30,9.80,0.00,766.00,24,510,230300,31.60,11.50,8.40,11.40,730.00,45.30,399.00,2.09,14.10,8.40,2.10,7.60,6.00,0.00,1879.00,1858.00,0.90,8.00,0.70,0.50,87.70,1431.00,131,419,0.09154437456324249
99,"Census Tract 2502.07, Baltimore city, Maryland",2308.00,817.00,483.00,31.10,40.90,2.82,3.85,4.90,0.00,44.40,0.00,7.80,9.90,89.70,2.40,89.10,8.80,1.20,10.60,24.20,25.80,10.10,4.20,13.10,0.00,13.50,18.50,4.20,2.90,52623.00,24.80,6.90,31.00,5.00,28553.00,41650.00,40375.00,41.20,41.20,8.50,22.60,16.30,47.40,933.00,87.60,0.00,0.70,933.00,24,510,250207,2.00,0.00,0.90,2.80,817.00,18.40,667.00,3.75,2.40,21.90,58.00,10.70,4.70,0.00,1098.00,979.00,9.70,14.40,1.00,0.60,10.40,2308.00,91,1002,0.039428076256499134
100,"Census Tract 2503.03, Baltimore city, Maryland",2370.00,872.00,460.00,21.20,47.20,2.72,3.81,8.70,0.00,22.20,40.70,18.00,3.40,80.70,2.20,81.40,17.50,11.30,13.50,12.50,26.80,10.90,1.70,14.10,0.00,15.00,11.90,7.20,2.30,54981.00,40.60,4.90,27.80,2.80,26274.00,36293.00,36678.00,42.00,42.00,12.60,21.50,28.60,55.60,962.00,90.60,3.40,5.80,962.00,24,510,250303,12.60,0.00,0.80,0.00,872.00,48.20,452.00,2.75,7.70,18.30,44.00,32.40,8.10,0.00,1167.00,994.00,7.60,17.00,2.30,0.00,56.60,2370.00,100,1612,0.04219409282700422
101,"Census Tract 2707.03, Baltimore city, Maryland",2629.00,1103.00,600.00,15.60,45.60,2.38,3.03,11.70,0.00,0.00,0.00,2.60,7.80,84.50,0.40,89.00,12.40,10.30,3.50,38.40,25.10,6.50,8.60,11.40,0.00,1.50,3.50,7.20,6.30,78340.00,27.40,1.90,11.50,11.50,38125.00,57500.00,56944.00,67.40,67.40,7.80,3.50,0.00,33.30,1249.00,88.30,4.30,20.80,1249.00,24,510,270703,0.00,0.00,0.00,0.70,1103.00,66.10,374.00,2.49,4.30,31.20,4.80,21.70,31.70,1.50,1558.00,999.00,5.80,16.70,0.00,0.20,60.80,2629.00,99,1086,0.03765690376569038
102,"Census Tract 2710.01, Baltimore city, Maryland",2479.00,829.00,481.00,29.00,42.00,2.95,4.08,5.50,70.00,0.00,0.00,15.70,2.90,84.70,0.60,91.80,5.90,0.00,16.40,33.30,19.90,10.60,7.20,12.20,0.00,9.90,9.50,12.90,1.60,56049.00,35.90,10.60,36.70,2.70,30410.00,37279.00,34632.00,47.50,47.50,6.30,8.90,10.20,18.90,1076.00,77.00,0.00,4.40,1076.00,24,510,271001,1.90,0.00,0.00,2.00,829.00,42.60,476.00,2.95,10.70,21.60,42.50,40.80,1.70,2.00,1219.00,1023.00,9.10,13.60,0.00,0.00,3.90,2479.00,50,1001,0.02016942315449778
103,"Census Tract 201, Baltimore city, Maryland",1713.00,808.00,366.00,11.40,54.70,2.12,2.80,14.50,0.00,0.00,52.40,4.80,2.70,70.80,0.00,88.00,10.80,22.30,5.20,72.10,9.00,4.20,8.50,19.50,0.00,2.20,5.60,13.70,14.40,108234.00,13.20,0.20,9.40,20.20,54784.00,69375.00,65208.00,78.10,78.10,4.70,4.10,0.00,13.30,1017.00,79.40,10.00,11.00,1017.00,24,510,020100,0.00,0.00,4.00,1.30,808.00,62.10,306.00,1.98,7.70,14.70,1.40,2.00,9.20,13.10,2062.00,1421.00,7.40,8.90,1.10,1.50,84.40,1713.00,17,698,0.0099241097489784
104,"Census Tract 2602.02, Baltimore city, Maryland",5529.00,2336.00,1146.00,27.40,50.90,2.36,3.42,7.40,65.00,9.00,9.00,10.20,3.20,89.40,0.00,91.30,7.50,0.50,11.00,30.00,27.10,9.20,3.40,8.30,0.00,8.80,9.10,14.00,0.60,50212.00,21.90,3.30,26.40,1.10,30564.00,33991.00,36902.00,42.40,42.40,5.30,16.80,0.00,10.70,2820.00,82.80,4.60,13.70,2820.00,24,510,260202,4.30,0.00,1.30,9.00,2336.00,40.90,1381.00,2.60,5.40,15.80,46.80,29.60,18.50,0.00,991.00,848.00,5.70,12.00,0.00,0.00,4.30,5529.00,101,2357,0.018267317778983543
105,"Census Tract 2603.02, Baltimore city, Maryland",6986.00,2532.00,1648.00,45.00,34.90,2.76,3.46,5.70,46.00,0.00,24.40,13.80,6.60,89.70,0.00,96.40,5.30,0.50,17.80,25.50,24.60,16.00,5.60,15.70,0.00,18.40,14.30,9.40,0.60,50539.00,29.10,8.80,33.30,0.90,30966.00,31452.00,37908.00,55.20,55.20,8.80,28.50,23.30,38.20,2877.00,88.00,2.40,8.40,2877.00,24,510,260302,0.00,0.00,0.00,0.00,2532.00,57.80,1069.00,2.55,1.20,33.80,38.20,42.00,10.70,0.00,1143.00,1056.00,5.20,14.80,0.30,0.00,5.70,6986.00,89,2142,0.012739765244775264
106,"Census Tract 2607, Baltimore city, Maryland",2884.00,920.00,513.00,9.60,44.20,3.12,3.93,15.60,182.00,0.00,0.00,14.30,3.40,75.20,0.30,60.90,54.20,6.70,2.50,33.90,20.00,5.80,5.30,10.70,0.00,6.40,13.80,16.80,5.80,90910.00,22.90,0.80,17.10,10.30,33750.00,47723.00,41897.00,56.40,56.40,20.50,11.50,0.00,4.30,1080.00,85.20,6.20,11.40,1080.00,24,510,260700,0.00,8.00,1.40,0.60,920.00,63.80,333.00,2.13,13.60,18.00,8.00,23.30,12.90,0.00,1544.00,1542.00,12.50,9.00,1.50,0.50,77.20,2884.00,75,1357,0.026005547850208043
